?Akisq'nuk First Nation,604,British Columbia,638,Custom Electoral System,,3050 HIGHWAY 93 / 95,WINDERMERE,V0B2L2,First Nation website,First Nation profile,-115.6521346,50.5728536
?Esdilagh First Nation,709,British Columbia,285,Custom Electoral System,"TROY, BAPTISTE",4 - 9001 WEST FRASER RD,QUESNEL,V2J6R4,First Nation website,First Nation profile,-122.517921,52.954895
?aqam,602,British Columbia,414,Custom Electoral System,,7470 MISSION ROAD,CRANBROOK,V1C7E5,,First Nation profile,-115.758199,49.579455
Aamjiwnaang,172,Ontario,2607,Indian Act,"JANELLE YVONNE, NAHMABIN",978 TASHMOO AVENUE,SARNIA,N7T7H5,First Nation website,First Nation profile,-82.352865,42.942385
Abegweit,1,Prince Edward Island,416,Custom Electoral System,"RODERICK W (JUNIOR), GOULD",PO Box 36,Scotchfort,C0A1T0,First Nation website,First Nation profile,-62.87164688,46.33963013
Acho Dene Koe First Nation,758,Northwest Territories,721,Custom Electoral System,"EUGENE CLAYTON, HOPE",GENERAL DELIVERY,FORT LIARD,X0E0A0,First Nation website,First Nation profile,-135.00437,68.221032
Adams Lake,684,British Columbia,885,Custom Electoral System,"LYNN, KENORAS",PO BOX 588,CHASE,V0E1M0,First Nation website,First Nation profile,-119.686908,50.820461
Ahousaht,659,British Columbia,2236,Custom Electoral System,"JOHN, RAMPANEN",GENERAL DELIVERY,AHOUSAHT,V0R1A0,First Nation website,First Nation profile,-126.062678,49.281778
Ahtahkakoop,406,Saskatchewan,4447,First Nations Elections Act,"LARRY, DAVIS, AHENAKEW",PO BOX 220,SHELL LAKE,S0J2G0,First Nation website,First Nation profile,-107.138353,53.198062
Aishihik,490,Yukon,211,,,,,,,First Nation profile,,
Aitchelitz,558,British Columbia,41,Custom Electoral System,,8161 AITCHELITZ ROAD,CHILLIWACK,V2R4H4,,First Nation profile,-121.9880625,49.1476132
Aklavik,755,Northwest Territories,452,Custom Electoral System,"RANDY RYAN, EDWARDS",PO BOX 118,AKLAVIK,X0E0A0,,First Nation profile,-135.00437,68.221032
Albany,142,Ontario,5710,Custom Electoral System,"ROBERT HELI VICTOR, NAKOGEE, HOSEA RICKY WILLERD, WESLEY",PO BOX 1,FORT ALBANY,P0L1H0,,First Nation profile,-81.707254,52.199252
Alderville First Nation,160,Ontario,1412,Custom Electoral System,"GEORGE EVERETT (TAYNAR), SIMPSON",11696 Second Line Road,ROSENEATH,K0K2X0,First Nation website,First Nation profile,-78.12822,44.166885
Alexander,438,Alberta,2685,Custom Electoral System,"GEORGE, ARCAND JR",PO BOX 3419,MORINVILLE,T8R1S3,First Nation website,First Nation profile,-113.655477,53.802865
Alexis Nakota Sioux Nation,437,Alberta,2396,Custom Electoral System,"TONY, ALEXIS",PO BOX 7,GLENEVIS,T0E0X0,First Nation website,First Nation profile,-114.5137711,53.79371262
Algonquins of Barriere Lake,74,Quebec,810,Indian Act,"CASEY, RATT","Parc de la Vérendrye, P.O Box 74, General Delivery",Rapid Lake,J0W2C0,,First Nation profile,-76.712381,47.256591
Algonquins of Pikwakanagan First Nation,163,Ontario,4529,Custom Electoral System,"GREGORY JAMES, SARAZIN",1657A Mishomis Inamo,Pikwakanagan,K0J1X0,First Nation website,First Nation profile,-77.275338,45.60871
